"","X","Player","Pos","Height","Weight","Age","Age21"
"300",300,"Jeff Green","F",81,235,27,">21"
"301",301,"Kris Humphries","F",81,235,28,">21"
"302",302,"Tornike Shengelia","F",81,217,21,"<=21"
"303",303,"Andrei Kirilenko","F",81,235,32,">21"
"304",304,"C.J. Leslie","F",81,209,22,">21"
"305",305,"Kenyon Martin","F",81,240,35,">21"
"306",306,"Furkan Aldemir","F",81,220,22,">21"
"307",307,"Lavoy Allen","C",81,225,24,">21"
"308",308,"Tyler Hansbrough","F",81,250,27,">21"
"309",309,"Amir Johnson","F",81,237,26,">21"
"310",310,"Carlos Boozer","F",81,266,31,">21"
"311",311,"Luol Deng","F",81,220,28,">21"
"312",312,"Taj Gibson","F",81,225,28,">21"
"313",313,"Mike Dunleavy","F",81,230,33,">21"
"314",314,"Tristan Thompson","F",81,227,22,">21"
"315",315,"Josh Smith","F",81,225,27,">21"
"316",316,"Tony Mitchell","F",81,236,21,"<=21"
"317",317,"Luigi Datome","F",81,210,25,">21"
"318",318,"Darnell Jackson","F",81,253,27,">21"
"319",319,"Luis Scola","C",81,245,33,">21"
"320",320,"David West","F",81,240,33,">21"
"321",321,"Chris Copeland","F",81,235,29,">21"
"322",322,"Giannis Antetokounmpo","F",81,205,18,"<=21"
"323",323,"Elton Brand","F",81,254,34,">21"
"324",324,"Bismack Biyombo","C",81,229,21,"<=21"
"325",325,"Juwan Howard","F",81,250,40,">21"
"326",326,"Jarvis Varnado","F",81,230,15,"<=21"
"327",327,"Joel Anthony","C",81,245,31,">21"
"328",328,"Glen Davis","F",81,289,27,">21"
"329",329,"Andrew Nicholson","F",81,250,23,">21"
"330",330,"Al Harrington","F",81,250,33,">21"
"331",331,"Kevin Seraphin","C",81,275,23,">21"
"332",332,"Otto Porter","F",81,200,20,"<=21"
"333",333,"Devin Ebanks","F",81,215,23,">21"
"334",334,"Terrence Jones","F",81,252,21,"<=21"
"335",335,"Omri Casspi","F",81,225,25,">21"
"336",336,"Chandler Parsons","F",81,200,24,">21"
"337",337,"Robert Covington","F",81,204,22,">21"
"338",338,"Willie Reed","F",81,207,23,">21"
"339",339,"Tayshaun Prince","F",81,215,33,">21"
"340",340,"Zach Randolph","F",81,260,32,">21"
"341",341,"Al-Farouq Aminu","F",81,215,22,">21"
"342",342,"Arinze Onuaku","F",81,261,26,">21"
"343",343,"Lou Amundson","F",81,225,30,">21"
"344",344,"Livio Jean-Charles","F",81,217,19,"<=21"
"345",345,"Jeff Ayres","F",81,240,26,">21"
"346",346,"Darrell Arthur","C",81,235,25,">21"
"347",347,"J.J. Hickson","F",81,242,25,">21"
"348",348,"Quincy Miller","F",81,210,20,"<=21"
"349",349,"Corey Brewer","F",81,188,27,">21"
"350",350,"Bojan Dubljevic","F",81,240,21,"<=21"
"351",351,"Kevin Durant","F",81,230,24,">21"
"352",352,"Dorell Wright","F",81,205,27,">21"
"353",353,"Victor Claver","F",81,235,25,">21"
"354",354,"Marvin Williams","F",81,240,27,">21"
"355",355,"Jeremy Evans","F",81,196,25,">21"
"356",356,"David Lee","F",81,240,30,">21"
"357",357,"Brandon Davies","F",81,235,22,">21"
"358",358,"Antawn Jamison","F",81,235,37,">21"
"359",359,"Shawne Williams","F",81,230,27,">21"
"360",360,"Alex Oriakhi","F",81,255,23,">21"
"361",361,"Marcus Morris","F",81,235,24,">21"
"362",362,"Patrick Patterson","F",81,235,24,">21"
"363",363,"Carl Landry","F",81,248,30,">21"
"364",364,"Travis Outlaw","F",81,207,29,">21"
"365",365,"James Johnson","F",81,248,26,">21"
"366",366,"Chris Wilcox","C",82,235,31,">21"
"367",367,"Mason Plumlee","C",82,235,23,">21"
"368",368,"Jeremy Tyler","F",82,260,22,">21"
"369",369,"Amare Stoudemire","F",82,240,30,">21"
"370",370,"Nerlens Noel","C",82,228,19,"<=21"
"371",371,"Steve Novak","F",82,240,30,">21"
"372",372,"Erik Murphy","F",82,230,22,">21"
"373",373,"Nazr Mohammed","C",82,250,36,">21"
"374",374,"Vladimir Radmanovic","F",82,235,32,">21"
"375",375,"Earl Clark","F",82,225,25,">21"
"376",376,"Andre Drummond","C",82,270,20,"<=21"
"377",377,"Josh Harrellson","C",82,275,24,">21"
"378",378,"Jonas Jerebko","F",82,231,26,">21"
"379",379,"Ekpe Udoh","C",82,240,26,">21"
"380",380,"Ersan Ilyasova","F",82,235,26,">21"
"381",381,"Pero Antic","F",82,260,31,">21"
"382",382,"Gustavo Ayon","F",82,250,28,">21"
"383",383,"Al Horford","F",82,245,27,">21"
"384",384,"Al Jefferson","C",82,280,28,">21"
"385",385,"Josh McRoberts","F",82,240,26,">21"
"386",386,"Tyrus Thomas","F",82,225,27,">21"
"387",387,"Michael Beasley","F",82,235,24,">21"
"388",388,"Rashard Lewis","F",82,230,34,">21"
"389",389,"Chris Andersen","C",82,228,35,">21"
"390",390,"Kyle O`Quinn","F",82,240,23,">21"
"391",391,"Nikola Vucevic","C",82,240,22,">21"
"392",392,"Hedo Turkoglu","F",82,220,34,">21"
"393",393,"Emeka Okafor","C",82,255,30,">21"
"394",394,"Bernard James","C",82,240,28,">21"
"395",395,"Brandan Wright","C",82,210,25,">21"
